assimilate;take in and understand fully (information or ideas)
copulate;have sexual intercourse
tentative;1)not certain or fixed, provisional. 2)done without confidence
fatal;causing death, leading to failure of disaster
dentures;a removable plate or frame holding one or more artificial teeth or false teeth.
manoeuvre;1). a movement or series of moves requiring skill and care. 2). a large scale military exercise of troops or warships or other forces.
wary;feeling or showing caution about dangers or problems
Litigation;The process of legal action.
Fritters;bhajiye [HINDI]
Bestow;To bestow something on someone means to give or present (an honour, right or gift) to them.
Knighthood;The title rank or status of knight
knight;1)A man who served his sovereign as a soldier in armour. 2)A man awarded title by sovereign in recognition of merit or service and entitled to use the honorific "Sir" in front of his name.
realm;a kingdom, a field or domain of acitivity or interest.
schooled;educated or trained in a specified activity or in a partcular way.
superseded;take the place of a person or thing previously in authority or use; supplant / replace.
janitor;a caretaker or doorkeeper of a building.
feeble;lacking physical strength, especially as a result of age or illness.
gallivant;to roam about in search of pleasure or amusement.
layover;a period of rest or waiting before a further stage in a journey.
ambush;a surprise attack by people lying in wait in a concealed position.
misogyny;dislike of, contempt for, or ingrained prejudice againts women.
stab;thrust a knife or other pointed weapon into (someone) so as to wound or kill.
downpour;a heavy fall of rain.
levy/levied;impose (a tax, fee, or fine)
condescending;having or showing an attitude of patronizing superiority.
preposterous;contrary to reason or common sense; utterly absurd or ridiculous.
badass;badmash [HINDI]
obliterate;destroy utterly;wipe out
peculiarity;a strange or unusual feature or habit.
smear;1)coast or mark (something) messily or carelessly with a greasy or sticky substance. 2)damage the reputation of (someone) by false accusations; slander.
prerogative;a right or privilege exclusive to a particular individual or class.
persuade;Cause to believe something, provide a sound reason to do something. Convince.
Indigenously;desh me hi bana hua [HINDI]
meltdown;a disastrous collapse or breakdown. Large scale failure.
fiasco;a complete failure, especially a ludicrous or humiliating one.
ludicrous;so foolish, unreasonable
humiliating;making someone feel ashamed and foolish by injuring their dignity and pride.
posada;a hotel or inn.
inn;a pub, typically one in the country. in some cases, provides accommodations.
rousing;exciting, inspirational
exorbitant;unreasonably high.
slog;work hard for a period of time.
crisps;1)a wafer-thin spice of potato fried or baked until crips and eaten as snack. 2)stiff (which can't be bentor change in shape, rigid)
exotica;objects considered interesting because they are out of the ordinary, especially because they are originated in a distant foreign country.
affirmation;declaration/statement/proclamation/assurance
accustomed;customary/usual/habitual
skyscrapper;very tall building of many storeys.
contrast;the state of being strikingly different from something else.
hustle and bustle;chahal-pahal [HINDI]
confederation;alliance, federation, association
cosmopolitan;familiar with and at ease in many different countries and cultures.
nasty;very bad or unpleasant
outrage;an extrememly strong reaction of anger. Fury / Rage
gaze;look steadily and intently, especially at admiration, surprise or thought.
wreck;something that has badily destroyed or damaged.
chanting;say or shout repeatedly in a sing-song tone. Japana [HINDI]
coronation;the crowning ceremony of a king / sovereign.
adolescent / teenager / young adult / adult;WHO defined:10 to 19, 13 to 19, 20 to 25, greater than 25 or 27.
last but not least; importantly, despite being mentioned after everyone else.
moron;a stupid person.
lucrative;profitable or profit-making
soothing;having a gently calming effect.
pertain;concern
immortal;living forever, never dying, deathless, Eternal, Everlasting
presume;assume / suppose
casting-couch;the casting-couch syndrome or casting-couch mentality is the demand of sexual favours by an employer or person in a position of power and authority, from an apprentice employee or subordinate to a superior in return for entry into an occupation, or for other career advancement withing an organization.
stench;strong, unpleasant smell
brew;make tea or coffee by mixing hot water. Pronunciation: "bru"
skipper;the captain of a boat or ship
abandon;desert, leave, give-up, relinquish, renounce, disown, discard.
accuse;charge with an offense or crime
across;from one side to the other side of; over, covering
adequate;satisfactory or acceptable in quantity or quality
ally;1)a state formally cooperating with another for a military or other purpose. 2)combine or unite a resource with another for mutual benefit
anticipate;expect, foresee, predict, forecast, prophesy
anxiety;a feeling of worry, nervousness or unease about something.
apparent;clearly visible or understood, obvious.
asleep;in or into a state of sleep.
assault;make a physical attack on, hit strike.
assert;a state of fact, declare
assess;evaluate or estimate
attorney;legal practitioner, lawyer
power of attorney;the authrity to act for another person in specified or all legal or financial matters.
awful;very bad or unpleasant, disgusting
nod;lower and raise one"s head slightly and briefly, especially in greeting, assent or understanding or to give someone a signal
cannibalization;in marketing strategy, it refers to a reduction in sales volume, sales revenue or market share of one product as a result of the introduction of a new product by the same producer.
wear and tear;this is the damage that naturally and inevitably occurs as a result of normal wear or aging.
absurd;unreasonable, illogical, inappropriate
latent;existing but not yet developed or manifest. hidden or concealed.
climate;weather pattern
perpetrator;a person who carries out a harmful, immoral or illegal act. jadu-tona karne wale [HINDI]
malign;evil in nature or effect.
confront;come face to face with hostile or argumentative intent
solely;only, simply, just, merely
collaboration;the action of working with someone to produce something.
mischievous;naughty, causing or showing a fondness for causing trouble in a playful way.
nostalgic;sentimental / emotional for the past
butt;1)the part of finished cigarette that has not been smoked. 2)slang for bottom
articulate;having or showing the ability to speak fluently and coherently.
humped;having a hump, curved, kubad [HINDI]
dwell;live in or at a specified place, reside, live.
commendable:deserving praise, admirable, praise worthy
fatigue;extreme tiredness resulting from mental or physical exertion or illness.
maiden;unmarried
lethargic;dull, lifeless, slow
paparazzo;a freelance photographer who pursues celebrities to get photographs of them. PLURAL: paparazzi
artful;skillful
adapt;to change for a new situation or purpose
adopt;to legally take something as your own
apposite;appropriate, suitable
apt;having a tendency to do something
bridle;the headgear used to control a horse
adverse;unfavourable, preventing success
fortnight;a period of two weeks
admonish;scold / criticize
meantime;until the occurence of some other event
avid;having or showing a keen interest in or enthusiasm for something
amid;surrounded by, in the middle of
prophecy;a message that is claimed by a prophet to have been communicated to them by a god.
prophet;a person regarded as an inspired teacher or proclaimer of the will of God.
fed-up;tired of something, especially something that you have been experiencing for a long time.
sovereign;supreme king, monarch
impeccable;flawless, perfect, exemplary, idle
en-suite;a bathroom that immediately adjoins a bedroom and forms part of the same set of rooms.
dormitory;a large bedroom for a number of preople in a school or institution.
regime;a government, a system or ordered way of doing things.
rant;shout at lengthy in an angry
bathrobe;a dressing gown especially one made up of towelling
closet;a tall cupboard or wardrobe with a door for storage
venom;a poisonous substance secreted by animals like snake.
habitat;the natural home or environment for animal, plant and other species.
chores;routine task, especially a household one.
subsidised;financial support
mesmerizing;capture one"s complete attention
imitate;take or follow as a model
endangered;seriously at risk of extinction
pony;horse of small breed
foot in mouth;saying something foolish, embarrassing, or tactless.
kitty;a fund of money for communal use
weary;feeling or showing extreme tiredness
kayak;light frame kashti for water sport with an opening in the mid to sit
boulder;a large rock
hop;move by jumping on one foot
prospective;expected or expecting to be the specified thing in the future
manifestation;an event, action, or object that clearly shows or embodies something abstract or theoretical.
stubborn;ziddi [HINDI], bull-headed, wilful, pig-headed
beast;an animal, especially four-footed animal
forbidden;refuse to allow something
out of the blue;without warning, unexpectedly
etiquette;sabhyata [HINDI]
rockabye;exclamation. Used to soothe an infant to sleep, especially in accompaniment to the rocking of a cradle or the rocking of the infant in one"s arm.
sin;paap [HINDI]
thrifty;using money and other resources carefully and not wastefully
creche;a nursery where babies and young children are cared for during the working day.
mezzanine;a low storey between two others in a building, typically between the ground and first floors.
feast;a large meals typically a celebrated one.
teem;be full or swarming with
predator;an animal that naturally preys on others, a person who ruthlessly exploit others.
dynasty;a line of hereditary rulers of a country
partridge;teetar ya teetar ka maas
swarming;moving in or forming a large or dense group
detestable;deserving intense dislike
stale;no longer fresh, baasi [HINDI]
extradition;deportation or handover of a accused or convicted of a crime.
pawn;a chess piece of the smallest size and value, a person used by others for their own purposes.
entitle;give someone a legal right or just a claim to receive or do something
endeavour;an attempt to achieve a goal
deemed;regard or consider in a specified way
castle;a large building
steak;high quality beek taken from the hindquarters of the animal, typically cut into thick slices that are cooked by grilling or frying
stake;a strong wooden or metal post with a point at one end, a sum of money or something else of value gambled on the outcome of a risky game or venture.
turban;pagdi [HINDI]
doppleganger;an appropriate or double of a living person, carbon-copy
tenacious;drdh, atal [HINDI]
venture;udyam [HINDI]
spectacular;beautiful in a dramatic and eye catching way
analogy;samanta [HINDI]
determination;drdh nishchay [HINDI]
debt;a sum of money that is owed or due
diminished;made smaller or less
campaign;work in an organized and active way towards a particular goal, typically a political or social one, chunav-prachar [HINDI]
miserable;wretchedly unhappy or uncomfortable, dukhi [HINDI]
nurture;palan-poshan [HINDI]
deceive;deliberately cause to believe something that is not true, dhokha [HINDI]
distress;extreme anxiety, sorrow, or pain
betrayal;vishwasghaat [HINDI]
deliberately;consciously and intentionally, in a careful and unhurried way
crematorium;shamshaan ghaat [HINDI]
itinerary;a planned route of journey
seamless;smooth and continuous
seam;a joint where two pieces of fabric are sewn together in a garment or other article
autobiography;a story of a person"s life written by the same person
biography;story of a perons"s life written by some other person
strand;drive or leave, the shore of sea / lake / large river
sap;1)the fluid which flows in the vascular system of plant. 2)gradually weaken or destroy
withstand;remain undamaged or unaffected
misty;full of or covered with mist
mist;a cloud of tinu water droplets, fog, smog
counteract;act against in order to reduce its force or neutralize it
saturate;overwhelming
remuneration;money paid for work or a service
fowl;a bird kept for its flesh and eggs. a domestic cock or hen
hen;female bird, murgi [HINDI]
stoat;a kind of animal similary to mongoose, aka weasel.
perch;an object on which a bird alights / sits
twilight;the soft glowing light from the sky when the sun is below the horizon
mite;a minute insect that has eight legs, like spider, scorpion, etc
tame;domesticated
fierce;having or displaying an intense or ferocious aggressiveness
tavern;inn or public house
convoy;a group of ships or vehicles travelling together, kaafila [HINDI]
hatred;intense dislike, hate
vengeance;revenge
retribution;punishment, penalty
appalling;causing shock, horrific, awful, very bad
fuss;a display of unnecessary or excessive excitement, unnecessary or excessive concern
heed;pay attention to, take notice of
amend;make minor changes in order to make it fairer or more accurate
artefact;an object make by human being, typically one of cultural or historical interest
bitter;kadva [HINDI]
sour;khatta [HINDI]
appetite;hunger
appetizer;snacks / starter
savory;salty
tentalizing;tarsane wala [HINDI], mouthwatering
pungent;strong smell, bitter taster, spicy-hot
yummy;great tasting
pavement;footpath
abrasion;rubbing, gharsan [HINDI]
rucksack;a bag with shoulder straps which allow it to be carried on someone"s back
silhouette;the dark shape and outline of someone or something visible in restricted light against a brighter background
bruising;chot [HINDI], injury on skin
aboriginal;aadivasi [HINDI], indigneous, native
magnificent;extremely beautiful, impressive
rug;a flat covering of thick woven material or animal skin, typically not extending the entire floor. mat, carpet, blanket [BRITISH]
timber;wood prepared for use in building and carpentry
stroll;1)walk in a leisurely way. 2)achieve a sporting victory without effort.
gracious;courteous, kind and pleasant especially towards someone of lower social status
amendments;a minor change or addition design to improve a text piece of legislation, etc.
intramural;situated or done within the walls of a building, like education institute, etc.
confer;grant a title / degree / benefit / right
fodder;chaara [HINDI]
restraint;self-control
toddler;a young child who is just beginning to walk
enact;make law, put into practice
jingoistic;characterized by extreme patriotism, especially in the form of aggressive or war like foreign policy
repercussion;an unintended consequence of an event or action, especially an unwelcome one.
witty;humourous, amusing, funny
sledging;1)the activity of travelling or sliding downhill over snow on a sledge. 2)the practice of making taunting or teasing remarks on opposing player.
merriment;gaiety and fun
gaiety;the state or quality of being light-hearted or cheerful
beak;a bird"s horny projecting jaws
horny;1)of or resembling horn. 2)feeling or arousing sexual excitement
excavate;make a hole or channel by digging
refurbishment;work such as painting, repairing and cleaning to make a building look new again
grief;intense sorrow, especially because of someone"s death
viking;sea-rover, pirate
dungeon;a strong underground prison cell, especially in a castle.
estuary;the tidal mouth of a large rive, muhana [HINDI]
freight;goods transported in bulk by truck, train, ship, or aircraft, cargo, consignment, shipment
astonishing;extremely surprising, amazing
gratitude;the quality of being thankful, gratefulness
invaluable / indespensable;extremely useful
complain vs complaint;complain is a verb, meaning to express how annoyed or unhappy you are with something. Complaint is noun, it is a statement expressing your annoyance / displeasure.
herd;with reference to a group of people or animals move in a group. jhund [HINDI]
carving;a shape or pattern cut into wood or stone or the skill of doing this
heaphestus;the greek god of blacksmith, metal working, carpenters, craftsmen, metallurgy, fire, volcanoes, etc.
cater;provide people with food and drink at a social event or other gatherings.
lobbying;seek to influence on an issue, paksh jutav [HINDI]
pave;(a piece of ground) covered with flat stones or bricks
veranda;a roofed platform along the outside of a house, level with the ground floor.
pergola;an arched structure (mandap [HINDI]) in a garden or park consisting of a framework covered with a climbing or trailing plants.
stillbirth;the birth of an infant that has died in the womb
wheelie-bin;a large refuse bin set on wheels
collusion;secret or illegal cooperation or conspiracy in order to deceive others
veer;change direction suddenly
weave;bunna [HINDI]
aisles;a passage between rows of seats in a building such as church or theater, an aircraft or train. galiyare [HINDI]
philanthropy;the desire to promote the welfare of others, expressed especially by the generous donation of money to good causes, lokupkar [HINDI]
cynical;believing that people are motivated purely by self-interest, concerned only with one"s own interests and typically disregarding accepted standards in order to achieve them, nindak, swarthi [HINDI]
brawl;a rough or noisy flight or quarrel
sage;wise and sensible
bespoke;made for a particular customer or user
crumpled;crushed to form creases and wrinkles
frisking;a search of a person"s outer clothing wherein a person runs his or her hands along the outer garments to detect any concealed weapons.
intrigue;1)arouse the curiosity or interest of fascinate. 2)make secret plans to do something illicit or determental to someone.
zeal;great energy or enthusiasm in pursuit of a cause or an objective
liability;1)the state of being responsible for something. 2)a person of thing whose presence or behaviour is likely to put one at a disadvantage
complacement;showing smug or uncritical satisfaction with oneself or one"s achievements
epitome;1)a person or thing that is the perfect example of a particular type or quality. 2)summary of a book, an abstract.
personification;avtaar [HINDI], incarnation
affable;pleasant
deference;polite submission and respect
statute;a written law/order passed by legislative body
okra;lady"s finger, bhindi [HINDI]
cobble;small round stone used to cover road surfaces
intellect;skills of reasoning and understanding, especially for abstract matters.
intellectual;a person possessing high level of intellect.
dweller;a person or animal that lives in or at a specified place.
offspring;a person or animal"s child or children, children / progeny
fate;kismat [HINDI]
forth;out and away from a starting point, aage [HINDI]
glance;take a brief or hurried look, jhalak [HINDI]
bury;put or hide underground
catholic;including a wide variety of things, diverse
contemporary;living or occuring at the same time
conviction;a formal declaration, a firmly held belief or opinion
cope;deal effectively with something difficult
groin;it is an area of your hip between your stomach and thigh. It is located where your abdomen ends and your legs begin
falcon;baaz [HINDI]
panting;haafna [HINDI]
phenomenal;remarkable or exceptional especially exceptionally good
plight;a dangerous, difficult, or otherwise unfortunate situation.
jeer;make rude and mocking remarks typically in a loud voice
beforehand;pehle hi [HINDI]
adorn;make more beautiful or attractive / embellish / decorative
daikon;mooli [HINDI]
green coriander;dhaniya ka patta [HINDI]
flourishing;thriving
fraternity;a group of people sharing a common profession or interests, community / society
voyage;a long journey involving travel by sea or in space
relish;enjoy
globetrotting;travelling widely around the world
pilgrim;teerthyatri [HINDI]
pilgrimage;teerthyatra [HINDI]
jaunting;go on a short journey for pleasure
modest;mamuli [HINDI]
abode;a place of residence / house / home
stray;bhatak [HINDI]
synagogue;a building in which Jews meet for religious worship or instruction
commuter;a person who travels some distance to work on a regular basis
exigency;an urgent need or demand
proliferate;increasing rapidly in number or multiply
edify;instruct or improve morally or intellectually
prone;likely or liable to suffer from, do, or experience something unpleasant or regrettable
outlook;a person"s point of view or general attitude to life
vantage;a place or position affording a good view of something
taboo;prohibited or restricted by social custom
aesthetic;relating to the enjoyment or study of beauty
lame;physically disabled causing a limp or something that is weak and unsatisfactory.
brunch;a late morning meal eaten instead of breakfast and lunch
crooked;bent or twisted out of shape or out of place, dishonest, illegal
engrave;cut or carve a text or design on the surface of a hard object
untidy / smutty / unkempt;ganda [HINDI]
fret;a state of anxiety / worry
sabotage;deliberately destroy, damage, or obstruct (something), especially for political or military advantage
redemption;1)the action of saving or being saved from sin, error, or evil. 2)the action of regaining or gaining possession of something in exchange for payment or clearing a debt
starvation;suffering or death caused by lack of food
fella;informal and non-standard spelling of fellow, a person"s boyfriend or lover
creepy;causing an unpleasant feeling of fear or unease
frisky;playfull and full of energy
duel;a contest with deadly weapons arranged between two people in order to settle a point of honour, fight, clash, battle, combat
addendum;an item of additional material added at the end of a book or other puhblication
calzone;a type of pizza that is folded in half before cooking to contain a filling
swinger;1)a person who engages in group sex or the swapping of sexual partners. 2)a bowler who makes a delivery of a ball deviate side ways from a regular course in the air.
vague;of uncertain, indefinite, unclear character or meaning
haste;excessive speed or urgency of movement or action
opacity;the quality of lacking transparency or translucency
proclaim;announce officially or publicly, indicate clearly.
vicariously;in a way that is experienced in the imagination through the actions of another person
gregarious;(of a person) fond of company, sociable
throne;a ceremonial chair for a sovereign, bishop, or similar figure.
retro;imitative of a style or fashion from the recent past
obituary;a notice of a death, especially in a newspaper, typically including a brief biography of the deceased person.
snap;break suddenly and completely, typically with a sharp cracking sound
acolyte;a person assisting a priest in a religious service or procession
incest;sexual relations between people classed as being too closely related to marry each other.
cosy;giving a feeling of comfort, warmth, and relaxation
ravish;1)seize and carry off (someone) by force. 2)fill (someone) with intense delight, enrapture
ramification;a complex or unwelcome consequence of an action or event
beloved;dearly loved, a much loved ones, used for LOVERS, like boyfriend, girlfriend, husband, wife, etc.
loved one;a person who is a member of one"s family or a close friend
yikes;expressing shock and alarm, often for humorous effect
discerning;having or showing good judgement
divulge;make known (private or sensitive information)
the best of both worlds;[IDIOM] you can enjoy two different opportunities at the same time
speak of the devil;[IDIOM] The person / object you are just talking about actually turns up at that moment
see eye to eye;[IDIOM] Agreeing with someone.
Once in the blue moon;[IDIOM] An event that happens infrequently
when pigs fly;[IDIOM] something that will never happen
to cost an arm and a leg;[IDIOM] something is very expensive
a piece of cake;[IDIOM] something is very easy.
let the cat out of the bag;[IDIOM] to accidentally reveal a secret.
to feel under the weather;[IDIOM] feeling not well.
to kill two birds with one stone;[IDIOM] to solve two problems at once
to cut corners;[IDIOM] to do something badly or cheaply
to add insult to injury;[IDIOM] to make a situation worse.
you cannot judge a book by its cover;[IDIOM] to not judge someone or something based solely on appearence
break a leg;[IDIOM] good luck. Often said to actors before they go on a stage.
to hit the nail on the head;[IDIOM] to describe exactly what is causing a situation or problem.
break the ice;[IDIOM] to do / say something as a means of reducing or eliminating shyness, awkward tension or unfamiliarity
what are you up to;[IDIOM] karna kya chahte ho?
I couldn"t help myself;[IDIOM] to be unable to stop yourself from doing soething you should not do.
my foot;[IDIOM] used for saying you don"t believe or agree with something that someone has said
cut it out;[IDIOM] exclude someone / something
here you go;[IDIOM] It indicates something is being pointed to physically or mentally. It accompanies the gesture of giving something to someone.
make room;[IDIOM] provide space for someone ro something
my treat;[IDIOM] I will pay for this
what you have been up to;[IDIOM] I haven"t seen you from a long time, so tell me what you have been doing from a long time
A leopard cannot change it"s spot;[IDIOM] a person can"t change who they are (their character), no matter how hard they try
get up on the wrong side of the bed;[IDIOM] to be in a bad mood, to be grumpy or unpleasant from the moment you wake up for no obvious reason
not my cup of tea;[IDIOM] you don"t like it or you do not interested in it
stomach upset;[IDIOM] a disorder of digestive function characterized by discomfort of heartburnt or indigestion
enjoy yourself;[IDIOM] often say people who are going to a social occasion such as a party or a dance
larger than life;[IDIOM] attracting special attention because of unusual and flamboyant appearence or behaviour, something that is not possible in real life.
get on with;[IDIOM] to have friendly relationship with something or somebody
I beg to differ;[IDIOM] formaly way of saying "I disagree with you"
why on Earth;[IDIOM] to emphasize your astonishment / surprise as to "why you are asking or doing this?"
snug as a bug in a rug;[IDIOM] very cosy and comfortable
one and for all;[IDIOM] hamesha k liye [HINDI]
damaged beyound repair;[IDIOM] irreparably damaged or harmed
